epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1520.97,1.07579,0.60534,0.93896,0.63672,0.61447,0.62644,0.40079,1.19104,0.74578,1.00058,0.00117435,0.00117435,0.00117435
92,1537.56,1.0628,0.58779,0.93365,0.57487,0.5618,0.55091,0.34462,1.26935,0.90817,1.0594,0.00117152,0.00117152,0.00117152
93,1554.09,1.05163,0.59205,0.93216,0.85865,0.76095,0.85052,0.58423,1.07765,0.5934,0.93514,0.00116869,0.00116869,0.00116869
94,1570.68,1.04663,0.59253,0.93519,0.13176,0.02903,0.06897,0.04376,3.79275,7.09191,2.99914,0.00116586,0.00116586,0.00116586
95,1587.21,1.05737,0.59714,0.93913,0.56464,0.55354,0.55472,0.34154,1.29923,1.00561,1.10823,0.00116303,0.00116303,0.00116303
96,1603.69,1.07307,0.61112,0.94163,0.48701,0.25685,0.3216,0.1788,1.82856,2.47356,1.368,0.00116021,0.00116021,0.00116021
97,1620.27,1.05493,0.5989,0.93685,0.80875,0.86051,0.86197,0.58367,1.10386,0.58856,0.93751,0.00115738,0.00115738,0.00115738
98,1636.97,1.08182,0.60297,0.94346,0.7576,0.87973,0.82965,0.54365,1.1221,0.63198,0.96387,0.00115455,0.00115455,0.00115455
99,1653.56,1.06347,0.5971,0.93692,0.77869,0.8903,0.8401,0.56251,1.1121,0.60808,0.94274,0.00115172,0.00115172,0.00115172
100,1670.13,1.054,0.58017,0.93576,0.64027,0.58436,0.60593,0.34878,1.41323,0.83099,1.05464,0.00114889,0.00114889,0.00114889
101,1686.69,1.05376,0.60055,0.93497,0.64439,0.68267,0.65561,0.41755,1.15024,0.70738,0.96823,0.00114606,0.00114606,0.00114606
102,1703.24,1.05938,0.59195,0.93657,0.60856,0.60618,0.5856,0.36652,1.22545,0.89517,1.00314,0.00114323,0.00114323,0.00114323
103,1719.79,1.05851,0.59074,0.93495,0.39451,0.19215,0.23202,0.1217,2.14363,inf,1.74833,0.0011404,0.0011404,0.0011404
104,1736.38,1.04617,0.59541,0.93442,0.52294,0.47564,0.48773,0.29133,1.39386,1.22448,1.20288,0.00113757,0.00113757,0.00113757
105,1752.82,1.07038,0.59723,0.93895,0.63423,0.73932,0.67064,0.41013,1.21285,0.77052,1.01487,0.00113474,0.00113474,0.00113474
106,1769.39,1.04445,0.58606,0.93883,0.51011,0.49147,0.46244,0.26949,1.5268,1.37136,1.31896,0.00113191,0.00113191,0.00113191
107,1785.91,1.04551,0.58577,0.93207,0.73783,0.65429,0.70682,0.46396,1.16726,0.70731,0.98306,0.00112908,0.00112908,0.00112908
108,1802.36,1.05548,0.57814,0.93111,0.19234,0.20794,0.17252,0.09668,2.24571,inf,1.80535,0.00112625,0.00112625,0.00112625
109,1818.83,1.03874,0.57558,0.93281,0.49659,0.3914,0.40988,0.22492,1.59362,1.6149,1.31797,0.00112342,0.00112342,0.00112342
110,1835.36,1.05402,0.58017,0.93603,0.42054,0.24297,0.28446,0.15682,1.93715,inf,1.64963,0.00112059,0.00112059,0.00112059
111,1851.79,1.04526,0.57173,0.93188,0.21022,0.16185,0.16068,0.08439,2.46009,inf,1.85997,0.00111776,0.00111776,0.00111776
112,1868.34,1.03975,0.57245,0.92616,0.68006,0.80897,0.72016,0.46681,1.10962,0.64643,0.95735,0.00111493,0.00111493,0.00111493
113,1884.74,1.03861,0.56592,0.92833,0.72554,0.80701,0.76927,0.51114,1.12628,0.62575,0.95352,0.0011121,0.0011121,0.0011121
114,1901.33,1.0485,0.57598,0.93568,0.69155,0.71416,0.68297,0.40975,1.22854,0.81387,1.00379,0.00110928,0.00110928,0.00110928
115,1917.76,1.03221,0.56959,0.93096,0.21835,0.21977,0.20718,0.11152,2.19792,3.64737,1.78018,0.00110645,0.00110645,0.00110645
116,1934.32,1.03845,0.57113,0.93093,0.61075,0.55842,0.56743,0.35949,1.27319,1.00082,1.04276,0.00110362,0.00110362,0.00110362
117,1950.81,1.03153,0.57142,0.92916,0.21876,0.4017,0.29011,0.15772,1.81587,inf,1.45495,0.00110079,0.00110079,0.00110079
118,1967.43,1.04245,0.58334,0.93662,0.57981,0.52406,0.54689,0.34541,1.25409,0.94612,1.03297,0.00109796,0.00109796,0.00109796
119,1983.84,1.05448,0.61129,0.93623,0.25707,0.02487,0.13259,0.06975,3.88777,7.09191,3.33033,0.00109513,0.00109513,0.00109513
120,2000.41,1.0399,0.56803,0.92963,0.69106,0.65704,0.69262,0.41543,1.27032,0.82178,1.06847,0.0010923,0.0010923,0.0010923
121,2016.99,1.03405,0.56561,0.92598,0.59925,0.59717,0.58165,0.34754,1.3448,1.02066,1.13449,0.00108947,0.00108947,0.00108947
122,2033.39,1.02524,0.55886,0.92633,0.26186,0.02781,0.13808,0.08293,3.80497,6.56979,2.95875,0.00108664,0.00108664,0.00108664
123,2049.98,1.02646,0.55739,0.92409,0.77484,0.8985,0.85893,0.58114,1.08403,0.58276,0.93329,0.00108381,0.00108381,0.00108381
124,2066.52,1.02773,0.55444,0.92675,0.72627,0.77806,0.75821,0.48409,1.18136,0.75768,1.00315,0.00108098,0.00108098,0.00108098
125,2082.99,1.03195,0.56419,0.93085,0.53235,0.24755,0.33993,0.19931,1.84853,2.53395,1.46462,0.00107815,0.00107815,0.00107815
126,2099.56,1.04508,0.56695,0.92673,0.80634,0.87045,0.84728,0.57128,1.09164,0.59157,0.94006,0.00107532,0.00107532,0.00107532
